"skill_id","skills","demand_count","salaries_average"
0,"sql","3189","128461"
1,"python","3041","132107"
76,"aws","2000","134072"
92,"spark","1587","136136"
74,"azure","1459","129152"
4,"java","1154","137307"
80,"snowflake","1072","137426"
98,"kafka","872","143086"
97,"hadoop","839","135679"
2,"nosql","822","136547"
3,"scala","794","143161"
78,"redshift","780","139527"
96,"airflow","737","137262"
75,"databricks","653","128180"
182,"tableau","608","123399"
61,"sql server","506","119235"
210,"git","495","126869"
81,"gcp","471","126594"
79,"oracle","460","120759"
183,"power bi","413","119904"
56,"mysql","408","138613"
214,"docker","399","132719"
213,"kubernetes","371","140092"
6,"shell","365","141725"
95,"pyspark","355","132750"
