"job_id","job_title","company_name","job_location","job_schedule_type","salary_year_avg","job_posted_date"
21321,"Data Engineer","Engtal","Anywhere","Full-time","325000.0","2023-01-27 18:10:51"
157003,"Data Engineer","Engtal","Anywhere","Full-time","325000.0","2023-02-17 18:11:49"
270455,"Data Engineer","Durlston Partners","Anywhere","Full-time","300000.0","2023-07-17 11:10:55"
230458,"Director of Engineering - Data Platform","Twitch","Anywhere","Full-time","251000.0","2023-01-30 11:07:32"
561728,"Data Engineer","AI Startup","Anywhere","Full-time","250000.0","2023-03-24 23:32:42"
595768,"Principal Data Engineer","Signify Technology","Anywhere","Full-time","250000.0","2023-02-14 15:24:07"
543728,"Staff Data Engineer","Signify Technology","Anywhere","Full-time","250000.0","2023-03-28 13:11:42"
151972,"Principal Data Engineer (Remote)","Movable Ink","Anywhere","Full-time","245000.0","2023-05-25 15:05:38"
204320,"Staff Data Engineer","Handshake","Anywhere","Full-time","245000.0","2023-01-08 15:05:16"
2446,"Data Engineering Manager","Meta","Anywhere","Full-time","242000.0","2023-12-12 15:56:17"
